Location,Unit,Disturbance,Transect,Plot,OAKcount
Hogsback (Blueberry Mountain),3/1,C,3,35,2
Hogsback (Blueberry Mountain),3/1,C,3,45,0
Hogsback (Blueberry Mountain),3/1,C,3,5,0
Hogsback (Blueberry Mountain),3/1,C,3,55,12
Hogsback (Blueberry Mountain),3/1,C,3,65,4
Hogsback (Blueberry Mountain),3/1,C,3,75,30
Hogsback (Blueberry Mountain),3/1,C,3,85,93
Hogsback (Blueberry Mountain),3/1,C,3,95,5
Stevens Brook (Plummers Ledge),5/15,C,1,105,1
Stevens Brook (Plummers Ledge),5/15,C,1,115,2
Stevens Brook (Plummers Ledge),5/15,C,1,125,1
Stevens Brook (Plummers Ledge),5/15,C,1,135,0
Stevens Brook (Plummers Ledge),5/15,C,1,145,0
Stevens Brook (Plummers Ledge),5/15,C,1,15,2
Stevens Brook (Plummers Ledge),5/15,C,1,155,1
Stevens Brook (Plummers Ledge),5/15,C,1,165,1
Stevens Brook (Plummers Ledge),5/15,C,1,175,0
Stevens Brook (Plummers Ledge),5/15,C,1,185,0
Stevens Brook (Plummers Ledge),5/15,C,1,195,0
Stevens Brook (Plummers Ledge),5/15,C,1,25,5
Stevens Brook (Plummers Ledge),5/15,C,1,35,1
Stevens Brook (Plummers Ledge),5/15,C,1,45,2
Stevens Brook (Plummers Ledge),5/15,C,1,5,9
Stevens Brook (Plummers Ledge),5/15,C,1,55,1
Stevens Brook (Plummers Ledge),5/15,C,1,65,7
Stevens Brook (Plummers Ledge),5/15,C,1,75,0
Stevens Brook (Plummers Ledge),5/15,C,1,85,1
Stevens Brook (Plummers Ledge),5/15,C,1,95,0
Stevens Brook (Plummers Ledge),5/15,C,2,15,3
Stevens Brook (Plummers Ledge),5/15,C,2,25,2
Stevens Brook (Plummers Ledge),5/15,C,2,35,4
Stevens Brook (Plummers Ledge),5/15,C,2,45,9
Stevens Brook (Plummers Ledge),5/15,C,2,5,12
Stevens Brook (Plummers Ledge),5/15,C,2,50,6
Stevens Brook (Plummers Ledge),5/15,C,2,60,7
Stevens Brook (Plummers Ledge),5/15,C,2,70,2
Stevens Brook (Plummers Ledge),5/15,C,4,15,6
Stevens Brook (Plummers Ledge),5/15,C,4,25,3
Stevens Brook (Plummers Ledge),5/15,C,4,35,4
Stevens Brook (Plummers Ledge),5/15,C,4,45,6
Stevens Brook (Plummers Ledge),5/15,C,4,5,8
Stevens Brook (Plummers Ledge),3/16,B,1,105,93
Stevens Brook (Plummers Ledge),3/16,B,1,115,29
Stevens Brook (Plummers Ledge),3/16,B,1,125,50
Stevens Brook (Plummers Ledge),3/16,B,1,135,29
Stevens Brook (Plummers Ledge),3/16,B,1,145,57
Stevens Brook (Plummers Ledge),3/16,B,1,15,35
Stevens Brook (Plummers Ledge),3/16,B,1,155,74
Stevens Brook (Plummers Ledge),3/16,B,1,165,36
Stevens Brook (Plummers Ledge),3/16,B,1,175,39
Stevens Brook (Plummers Ledge),3/16,B,1,185,86
Stevens Brook (Plummers Ledge),3/16,B,1,195,45
Stevens Brook (Plummers Ledge),3/16,B,1,205,23
Stevens Brook (Plummers Ledge),3/16,B,1,215,63
Stevens Brook (Plummers Ledge),3/16,B,1,225,81
Stevens Brook (Plummers Ledge),3/16,B,1,5,46
Stevens Brook (Plummers Ledge),3/16,B,2,15,28
Stevens Brook (Plummers Ledge),3/16,B,1,25,23
Stevens Brook (Plummers Ledge),3/16,B,2,25,39
Stevens Brook (Plummers Ledge),3/16,B,2,35,13
Stevens Brook (Plummers Ledge),3/16,B,2,45,4
Stevens Brook (Plummers Ledge),3/16,B,2,5,9
Stevens Brook (Plummers Ledge),3/16,B,2,55,18
Stevens Brook (Plummers Ledge),3/16,B,2,65,31
Stevens Brook (Plummers Ledge),3/16,B,2,75,23
Stevens Brook (Plummers Ledge),3/16,B,2,85,38
Stevens Brook (Plummers Ledge),3/16,B,2,95,86
Stevens Brook (Plummers Ledge),3/16,B,3,15,45
Stevens Brook (Plummers Ledge),3/16,B,3,25,47
Stevens Brook (Plummers Ledge),3/16,B,1,35,47
Stevens Brook (Plummers Ledge),3/16,B,3,35,49
Stevens Brook (Plummers Ledge),3/16,B,3,45,24
Stevens Brook (Plummers Ledge),3/16,B,3,5,76
Stevens Brook (Plummers Ledge),3/16,B,1,45,37
Stevens Brook (Plummers Ledge),3/16,B,1,55,46
Stevens Brook (Plummers Ledge),3/16,B,1,65,28
Stevens Brook (Plummers Ledge),3/16,B,1,75,27
Stevens Brook (Plummers Ledge),3/16,B,1,85,31
Stevens Brook (Plummers Ledge),3/16,B,1,95,60
Stevens Brook (Plummers Ledge),3/16,B,4,15,14
Stevens Brook (Plummers Ledge),3/16,B,4,25,21
Stevens Brook (Plummers Ledge),3/16,B,4,35,29
Stevens Brook (Plummers Ledge),3/16,B,4,45,20
Stevens Brook (Plummers Ledge),3/16,B,4,5,41
Stevens Brook (Plummers Ledge),3/16,B,5,105,18
Stevens Brook (Plummers Ledge),3/16,B,5,115,57
Stevens Brook (Plummers Ledge),3/16,B,5,125,58
Stevens Brook (Plummers Ledge),3/16,B,5,135,43
Stevens Brook (Plummers Ledge),3/16,B,5,145,59
Stevens Brook (Plummers Ledge),3/16,B,5,15,12
Stevens Brook (Plummers Ledge),3/16,B,5,155,50
Stevens Brook (Plummers Ledge),3/16,B,5,165,39
Stevens Brook (Plummers Ledge),3/16,B,5,175,41
Stevens Brook (Plummers Ledge),3/16,B,5,185,28
Stevens Brook (Plummers Ledge),3/16,B,5,195,71
Stevens Brook (Plummers Ledge),3/16,B,5,205,84
Stevens Brook (Plummers Ledge),3/16,B,5,215,19
Stevens Brook (Plummers Ledge),3/16,B,5,225,11
Stevens Brook (Plummers Ledge),3/16,B,5,25,23
Stevens Brook (Plummers Ledge),3/16,B,5,35,52
Stevens Brook (Plummers Ledge),3/16,B,5,45,20
Stevens Brook (Plummers Ledge),3/16,B,5,5,15
Stevens Brook (Plummers Ledge),3/16,B,5,55,45
Stevens Brook (Plummers Ledge),3/16,B,5,65,26
Stevens Brook (Plummers Ledge),3/16,B,5,75,74
Stevens Brook (Plummers Ledge),3/16,B,5,85,49
Stevens Brook (Plummers Ledge),3/16,B,5,95,12
Stevens Brook (Plummers Ledge),5/15,C,3,15,0
Stevens Brook (Plummers Ledge),5/15,C,3,25,0
Stevens Brook (Plummers Ledge),5/15,C,3,35,0
Stevens Brook (Plummers Ledge),5/15,C,3,45,0
Stevens Brook (Plummers Ledge),5/15,C,3,5,0
Stevens Brook (Plummers Ledge),5/15,C,3,55,0
Stevens Brook (Plummers Ledge),5/15,C,3,65,0
Stevens Brook (Plummers Ledge),5/15,C,3,75,0
Stevens Brook (Plummers Ledge),5/15,C,5,15,0
Stevens Brook (Plummers Ledge),5/15,C,5,25,0
Stevens Brook (Plummers Ledge),5/15,C,5,35,0
Stevens Brook (Plummers Ledge),5/15,C,5,45,0
Stevens Brook (Plummers Ledge),5/15,C,5,5,0
